v3,03/Jun/2026,08:18:26,UTC

SCRIPT
Name,Regress PRO EN
Description,
Created,21/Jun/2023,11:48:17

REPORT COMMENTS
(none)

,,,show,number
,,,show,tester
,,,show,date
,,,hide,time
,,,hide,tag filter
,,,show,build
""
,,,,pass
,,,,fail
,,,,blocked
,,,,tried

number,indent,text,tags,notes
242,2,"NFTs are sorted by [the NFT interacted with last is on top, as returned from tonapi]",,
243,2,Tapping an NFT opens the NFT description block,,
244,3,"Name, image, description",,
245,3,Verified NFT collections have a checkmark icon next to the name,,
246,3,"The ""View on nft market"" button works correctly",,
247,3,"The ""View in explorer"" / ""View details"" button opens tonviewer.com",,
248,3,"The ""Collapse"" button",,
249,3,"The ""Send NFT"" button",,
250,4,Opens the send flow,,
251,4,"The ""Wallet address"" input accepts a TON network wallet, Favorite name, DNS, or TG username",,
252,4,"After confirming the send, the send status appears at the bottom of the screen",,
253,2,,,
254,2,DNS & TG usernames,,
255,3,All DNS entries are moved to a separate Domains tab,,
256,3,Transfer works,,
257,3,Domain linking works,,
258,4,It is possible to link to your own address,,
259,4,It is possible to link to someone else's address,,
260,4,It is possible to unlink,,
261,3,Domain renewal works (for 1 year = 366 days),,
262,3,If 30 or fewer days remain until domain lease expiration -> the text under the button turns red + a fire icon appears in the NFT grid on the main screen,,
263,2,TG Username,,
264,3,Works the same as DNS (except renewal),,
265,3,,,
266,2,NFT on sale,,
267,3,NFTs on sale are marked with the ON SALE badge in the NFT grid and on the NFT screen,,
268,3,"Send, Link, and Renew buttons are inactive if the NFT is on sale",,
269,1,,,
270,1,History screen,,
271,2,Transaction history,,
272,3,"If transactions are less than a month old, they are grouped by day; if older, by month",,
273,3,All old transactions are loaded,,
274,3,All related transactions are split into blocks like on tonapi.io,,
275,3,"All transactions appear in history in the background - first pending, then completed (or completed immediately if the transaction was fast)",,
276,3,Transaction details open (fiat conversion is shown),,
277,3,"Incoming (TON, Token, NFT)",,
278,4,"Icon, amount, sender address, comment",,
279,4,"In the bottom sheet: amount, send date, sender, transaction address, fee, comment",,
280,4,Recipient address and transaction hash can be copied,,
281,4,"Spam transactions have a SPAM badge, the comment is hidden",,"Спам транзакция имеет флаг is_scam = true

Бекэнд смотрит на текст, сумму, количество исходящих транзакций у отправителя и то, есть ли он в блэклисте, чтобы определить присвоить ли флаг."
282,3,"Outgoing (TON, Token, NFT)",,
283,4,"Icon, amount, fee, recipient address, comment",,
284,4,"In the bottom sheet: amount, send date, recipient address, transaction address, fee, comment",,
285,4,Full recipient address and transaction hash can be copied,,
286,3,Tapping an NFT image in history opens the NFT screen,,
287,3,The View Transaction button on transaction details opens Tonviewer.com,,
288,1,,,
289,1,Ton Connect 2.0,,
290,2,Connection to service,,"Демо-дапп для тестов https://ton-connect.github.io/demo-dapp-with-react-ui/


https://tonconnect-sdk-demo-dapp-no-qa.vercel.app/
https://tonconnect-sdk-demo-dapp.vercel.app/

QA использует стейдж воллет лист и отправляет транзы с ошибками
no QA это прод окружение, т.е. прод воллеты и не отправляет транзу если есть ошибки"
291,3,Through desktop/mobile/TWA browser,,
292,3,Does not disconnect after a page refresh or when the app is closed and reopened,,
293,2,Working with a service,,
294,3,Action confirmation from the extension,,
295,4,The transaction bottom sheet opens automatically,,
296,4,The transaction completes successfully after confirmation,,
297,4,A cancellation message appears in the dApp if the transaction is cancelled in the wallet,,
298,3,The transaction is emulated correctly,,
299,2,Disconnecting from a service,,
300,3,"When disconnecting a dApp, the bridge connection is closed",,
301,3,,,
302,1,Preferences,,
303,2,Security,,
304,3,Lock Screen -> on/off,,
305,3,"When enabled, password/biometrics are requested on first app open",,
306,3,Change PIN code -> the old PIN code no longer works,,
307,3,Biometrics -> enables biometrics,,
308,3,Reset security settings -> allows resetting the password,,
309,2,Primary currency,,
310,3,The current currency is displayed,,
311,3,A new screen with a list of currencies opens,,
312,3,"Changing the currency -> changes it everywhere (main screen, send amount screen, TON balance)",,
313,2,Write to team -> opens the mail app with prefilled support email,,
314,2,Legal documents,,
315,2,Support -> Opens the Telegram bot @tonkeeper,,
316,2,Tonkeeper news -> RU/EN locale (@tonkeeper_ru / @tonkeeper_news),,
317,2,,,
318,1,Settings,,
319,2,Backup,,
320,3,Recovery phrase is displayed,,
321,3,Copy -> copies the Recovery phrase,,
322,2,Sign out,,
323,3,Opens the wallet sign-out confirmation screen,,
324,3,"The Sign out button is inactive until the user checks ""I have a backup copy of recovery phrase""",,
325,3,The Back up now button opens the screen with the secret phrase,,
